start	end	room	title	content_note	host	type
15:30	16:00	C3	Pause			
15:30	16:00	Saletta	Pause			
15:30	16:00	Raum der Wünsche	Pause			
15:30	16:00	Basement	Pause			
18:00	18:30	Lichtsaal	Simyala Saga		Lena Falkenhagen	Lesung
18:00	19:30	Saletta	1888 - Wer ist Jack the Ripper	Gewalt	M.H.Steinmetz	Interaktive Lesung
18:00	19:00	Raum der Wünsche	Schreibende und verlegene Verleger – das Wechselspiel		Amandara Schulzke, Björn Bedey und Jana Hoffhenke	Gespräch / Diskussion
18:00	19:00	Basement	Die dunkle Seite der Phantastik		Corinna Griesbach und Vincent Voss	Lesung / Buchvorstellung
18:00	18:30	C1	Scátha - Schattensaat 1	Krankheit, Alkoholismus, Vernachlässigung, Vertreibung, Blutopfer, Tieropfer, Angst vorm Ertrinken	Mina Bekker	Lesung
18:00	19:00	C3	Science in Science Fiction		Heiner Wolf	Vortrag
18:00	18:30	Kegelbahn	Zehn gewinnt! - Geschichten aus der X-Anthologie		Marina K. Wolf	Vortrag
18:00	18:30	C2	Eine Reise quer durchs Multiversum		Carolin Summer	Lesung
18:30	19:00	Saletta	Lesung aus Anouk - Die Sukkubus Saga	 Gewalt, Blut, Sex (im-, nicht explizit)	Isa Theobald	Lesung
18:30	19:00	C4	Der Steinkönig & Die Rose von Katuna		Anna Hellmich	Lesung
18:30	19:00	C1	Der unsterbliche Salamander		Zoe Rubaidh	Lesung
18:30	19:00	Kegelbahn	Herbst, Halloween und Kürbisse - Lesung aus der Kürbisgemetzel-Anthologie		Saskia Dreßler und Kornelia Schmid	Lesung
18:30	19:00	C2	Dystere Aussichten		Regina Schleheck	Lesung
19:00	20:00	Lichtsaal	PERRY RHODAN-Panel		Ben Calvin Hary, Klaus N. Frick und andere	Panel
19:00	19:30	Saletta	"Leyanna"		Jennifer May	Lesung
19:00	20:00	C4	Das Quiz der Ringe		Friedhelm Schneidewind	Lesung / Quiz
19:00	20:00	Raum der Wünsche	Die Moriarty-Triologie		Oliver Hoffmann	Lesung
19:00	20:00	Basement	Zombie Zone Germany		Simona Turini, Carolin Gmyrek und Janika Rehak	Lesung
19:00	20:00	C1	"Gezeitenruf": Romantasy mit keltischer Mythologie, Abenteuer und Herzklopfen	Tödliche Erkrankung einer nahestehenden Bezugsperson, Sexuelle Belästigung, Bedrohung, Alkohol	Yola Stahl	Lesung
19:00	20:00	C3	Über den heimischen Tellerrand: Worldcon, Eurocon und was es noch so alles gibt. 		Thomas Recktenwald, Arno Behrend, Gérard Kraus und Claudia Rapp	Panel / Diskussion
19:00	20:00	Kegelbahn	Weltenportal Sonderausgabe: Vampire.	Blut, Darstellung von Gewalt, Tod, Übergriffigkeit	Nicole Hobusch, Yvonne und Frankie Tunnat, Kai Focke, Anna Eichenbach und Sarah Lutter	Lesung
19:00	19:30	C2	Wächter der Magie		Lara Lorenz	Lesung
19:30	20:00	Saletta	Debütlesung "Schreiber des Schicksals"		N. Raliel Pelangi	Lesung
19:30	20:00	C2	Freigeist		Tanja Meurer	Lesung
16:00	16:30	Lichtsaal	Verlegergeplauder - Ihr fragt, wir antworten		Marc Hamacher, Torsten Low und Jürgen Eglseer	Panel
16:00	16:30	Saletta	Strumkrallen (Die Geheimnisse der Klingenwelt, Bd. 3)		Ju Honisch	Lesung
16:00	17:00	C4	Conlanging - Erschaffe eine eigene Kunstsprache für dein Buch		Mira Valentin und Eleonore Laubenstein	Workshop
16:00	17:00	Basement	Zwielicht - Das Magazin für dunkle Phantastik: Eine Vorstellung		Michael Schmidt und Erik Hauser	Vorstellung
16:00	16:30	C1	Abenteuer, Elfen, Wölfe, Drachen, Vampire und epische Reisen erwarten euch in TEALMON!		Edda Bork	Lesung
16:00	17:00	C3	Zwischen Wirklichkeit und Fiktion, Lesung und Talk zu den Chroniken von Chaos und Ordnung		J.H. Praßl (Autorenduo Judith und Heinz), Markus Rath und Raffaela Malzabuer (Musiker)	Lesung und Talk
16:00	17:00	Kegelbahn	Phantastische Miniaturen		Alexaneder Röder, Andrea Schneider, Friedhelm Schneidewind, Anja Stürzer und Marion Uhlmann	Lesung
16:00	16:30	C2	Schafskälte		Wolfram Weisse	Lesung
16:30	17:00	Saletta	Chrome Runners Vol. 1 - Razor und Ausblick in Shinigami 2 - Bioware	Gewalt	M.H. Steinmetz	Lesung
16:30	17:00	Raum der Wünsche	Die dunkle Seite der Erde (Blasphemische Science-Fiction-Geschichten)		Achim Stößer	Lesung
16:30	17:00	C1	Die Blutgabe		Anika Beer	Lesung
16:30	17:00	C2	"Zweimal langsamer wie du..."		Dieter Rieken	Lesung
17:00	18:00	Lichtsaal	Schattenelfen		Bernhard Hennen	Lesung
17:00	18:00	Saletta	Von Monstern und Mythen: "Schlangen und Stein" und "Ich, Hannibal"		James A. Sullivan, Judith und Christian Vogt	Lesung
17:00	17:30	C4	Von Null auf Lesereihe - Veranstalten für Anfänger		Tobias Radloff	Vortrag
17:00	18:00	Raum der Wünsche	Die Träumerin - Gezeichnete der Nacht		Anne Schröer	Lesung
17:00	18:00	Basement	Voll Verwünscht!		Nele Sickel, Jörg Fuchs Alameda, Thomas Heidemann	Lesung / Buchvorstellung
17:00	18:00	C1	"Dominium Terrae - der Fluch der Menschheit" (Horror Gemeinschaftsprojekt)		Sabine D. Jacob, Oliver Borchers	Vortrag
17:00	18:00	C3	Roboter, Cyborgs und KI: Wie viel Technik steckt bereits heute im Menschen?	Medizinische Themen	Jannis Radeleff	
17:00	18:00	Kegelbahn	Campus 2049:  Eine Science-Fiction-Anthologie		Kai Focke, Nicole Hobusch, Ele Kver, Katja Jansen, Friedhelm Schneidewind	Lesung / Diskussion
17:00	17:30	C2	Åsa Stryg: Winterblume (Fantasy-Abenteuer)		Silke Katharina Weiler	Lesung
17:30	18:30	C4	Das Romanprojekt in deiner Schublade		Esther S. Schmidt	Workshop
17:30	18:00	C2	Die Grenzgängerin - Das Erwachen		Astrid Baumann	Lesung
